,0,1,2
33,في موضوع عاوزة اتكلم وشايفه انه مهم جدا.. ليه في مصر مفيش حملات توعيه عن الكورونا فيروس او اعلانات علي التليفزيون ل… https://t.co/Hon453IbC6,DIAL_EGY,0.9761401
34,احنا لو هنقتل كل حاله كورونا في البلد ف تقريبا الناس هتطلع ع بعضها اشاعات علشان يموتو بعض,DIAL_EGY,0.9819202
35,انا زهقت من موضوع الحجر المنزلي ده,DIAL_EGY,0.98107535
36,@fozZz_22 @mostafawa7ed1 @Arabyy12 الكورونا خد خبر بنزولك و اترعب يخويا,DIAL_EGY,0.9597336
37,"@14 طب الكمامه وعرفنا انها عشان الكورونا
بس الطبسيه اللي على راسك دي عشان ايه يا كابتن مصر؟😃",DIAL_EGY,0.99093455
38,كل 🐍🐍🐍🐍شايفين اننا..احنا اللى مخلقين الكورونا..على رأى ماري منيب الله يرحمها:جتكوا نيله😂😂 https://t.co/vsdfU0H07n,DIAL_EGY,0.98635304
39,@jibrilwangjie انت يا بتاع الصين اختانا قروشك الكلها كورونا دي😂😂😂,DIAL_EGY,0.98588413
40,@omareldeep16 و هو بك*مك لو في كورونا كان الناس هتبقا قاعده عادي كده يعني و القنوات بتاعت ك*م التليفيزيون مكنتش هتتكلم,DIAL_EGY,0.99756515
41,@KhloudK36834512 مش احسن م اكون لسه ١٧ واندر ايدچ ومش جايب متر ونص,DIAL_EGY,0.9114473
42,@ibahzad ليه هما المصريين بقوا وباء دلوقتي!!,DIAL_EGY,0.99517006
43,احنا انشغلنا كلنا بالماتش والاحتفال وسيبناكي يا مصر بأخبارك، كورونا إيه بقى اللي اكتشفتوها https://t.co/j0D0moWaYT,DIAL_EGY,0.9875351
44,تبقي ماشي في الشارع  وتلاقي مواطن مصري اللي هو أساسا بيشم ريحة عادم السيارات صبح وليل و بيشرب مياه مجاري محلاه و بي… https://t.co/nMtv8Ra4rM,DIAL_EGY,0.993378
