,0,1,2
30,"هذا  فيديو منظمة الصحة العالمية عن الوقاية من #فيروس_كورونا  باللغة العربية 

 من فضلكم شاركوه مع اكثر عدد ممكن للت… https://t.co/bsaKYzUuoi",MSA,0.9819225
31,أصدر مكتب المجلس الشعبي الوطني، امام التطورات التي تعرفها بلادنا جراء انتشار وباء فيروس كورونا ، اليوم 26 مارس 2020… https://t.co/VGZUmglhL2,MSA,0.98461443
32,الحرم المكي أغلق فما هي المدرسه امام اقدس واطهر مشعر من مشاعر الدين الاسلامي هذا ليس هلال رمضان تنتظرون رؤيته هذا و… https://t.co/HGiOgmEzZk,MSA,0.97951907
33,دراسات وأبحاث علوم في ووهان ولكن عملية النقل لم تكن امنه مما ادى الى انتشار السلاح البيولوجي هذا يعتبر اول اعتراف بانه سلاح مصنع,MSA,0.9777641
34,لأول مره منذ 80 عام سوف يخلو سوق الكتب المصوره (الكوميكس) من أي اصدارات جديدة لشهر أبريل بسبب أزمة فيروس كورونا. https://t.co/7NemNwmXix,MSA,0.96648896
35,"هكذا ينمو #فيروس_كورونا 
#شاهد_سكاي https://t.co/VeOWAo4j9i",MSA,0.96575713
36,مسؤول أمريكي: الإدارة الأمريكية لم تطلب تعليق رحلات الطيران مع الصين https://t.co/cR0Z9jvBLH https://t.co/vtU43W8b13,MSA,0.9637977
37,""" حرب الكورونا "" 
طالما العالم لم يبرأ من جنون النرجسية فإنه مع كل حرب ، بغض النظر عن نوع السلاح المستخدم ، طبيعي أ… https://t.co/denRtTTslP",MSA,0.97042435
38,"RT @mthehli: سكان هذا الكويكب الصغير المسمى بالأرض عاجزون عن إيقاف #كورونا المخلوق الذي لا يُرى.

فهل هناك ضعف أكثر من ذلك؟ 

 {وَخُلِقَ ا…",MSA,0.9923199
39,رد فعل الشرطة عندما خالف هذا الرجل الاسباني حضر التجول https://t.co/o4sl2vvQpR,MSA,0.96329015
40,#الحجر_المنزلي 👱🏼‍♀️ https://t.co/VmtdoAPTSD,MSA,0.9159621
41,﮼اللهم،رمضان،بلا،وباء 💛',MSA,0.97807765
42,"العزل الصحي في المنازل الريفية⁦🏕️⁩⁦🏞️⁩
أفضل بكثير من العزل الصحي في المدينة 🏢⁦🏙️⁩🗼⁦🇩🇿⁩ https://t.co/zrGJBAOXqO",MSA,0.9924501
43,RT @alimahdi1982: @omartvsd الفايروس ليس من الصين كما صرح العالم البايولوجي قبل قليل. https://t.co/R0tPpwBjjO,MSA,0.96158224
44,"RT @RANAMALHIS: ""السياسيون أصحاب رؤوس الأموال"" هم أول المطالَبين بالمساهمة بدعم الإقتصاد والعائلات المحتاجة ... 
كانت و ستبقى مسؤوليتكم ،فم…",MSA,0.97278744
45,"عضو بعثة منظمة الصحة العالمية في إيران:

""لاحظنا تقدماً جيدا في تقديم الخدمات للمصابين بكورونا في إيران ويمكن للدول… https://t.co/Js52bvdU5e",MSA,0.9833904
46,"@kuwmun السيد وزير البلدية المحترم هذه الشكوى من تاريخ ١٣/٣ ولا يوجد تجاوب من بلدية الجهراء او طوارئ الجهراء 
تجمعا… https://t.co/jDpUyHaH8A",MSA,0.96177334
47,النفق الأوروبي https://t.co/CXjl3XIkPH,MSA,0.9341974
48,"19 قتيلا في حريق غابات في #الصين
https://t.co/hl9a6D1wmJ",MSA,0.9894372
49,RT @almgidh: إبداع,MSA,0.9642325
50,"RT @TaifEduGov: #كلنا_مسؤول

لأجل صحتك .. تعرَّف على طريقة تعقيم اليدين بالشكل الصحيح.

#فيروس_كورونا 
#تعليم_الطائف https://t.co/R4ztNRnzaM",MSA,0.9705062
51,قطر تعلن تسجيل أول إصابة بفيروس #كورونا لمواطن قطري عائد من إيران,MSA,0.98914015
52,قام #حزب_المؤتمر_السوداني فرعية #بابنوسة ولاية غرب #كردفان بالتعاون مع #الهلال_الأحمر_السوداني ومكتب صحة محلية بابن… https://t.co/RptfYA7SXY,MSA,0.98220474
53,"لماذا #الزرفي
لم يأتي تكليف عدنان الزرفي بتشكيل الحكومة الجديدة عن فراغ.
فبعض الساسة العراقيين ومنهم الرئيس والكرد… https://t.co/Z2idWL3LRu",MSA,0.9831769
54,#سرايا_الفن: اخر مستجدات #فيروس# كورونا https://t.co/sweRMwNrZE https://t.co/FGRXbf5pOg,MSA,0.9539256
55,"@BsheerSlamh @riyadbank @AlRajhiBank @AlAhliNCB السادة ملاك البنوك .. مصرف الراجحي
انعدام الصرافات في القرى النائية… https://t.co/mytc0RWYSo",MSA,0.9446706
56,"البترول الوطنية : محطات الوقود تعمل كالمعتاد على مدار الساعة 

#كونا #الكويت #الحجر_المنزلي_واجب_وطني… https://t.co/BH6ycoaseE",MSA,0.9618226
57,فرنسا تتأهب للانتقال إلى «المرحلة الثالثة» لمواجهة تفشي كورونا https://t.co/6agLRDlpa9,MSA,0.99087244
58,تعهت باينانس وكريبيتال بتقديم الدعم لضحايا فيروس كورونا في ووهان https://t.co/B9pHiKv7om,MSA,0.9059553
59,"السعودية تعلن فتح الطواف لغير المعتمرين.. وتعليق العمرة قرار شرعي للحماية من كورونا     
#lebanon24
 https://t.co/oBfgLYVBh6 via @Lebanon24",MSA,0.99096066
60,عاجل مصر ..إغلاق المساجد والكنائس لمكافحة تفشي فيروس كورونا https://t.co/C0EPjIIUES,MSA,0.98762274
61,مقولة رائعة ذكرها طبيب هندي في لقاء تلفزيوني معه عن فيروس كوفيد 19: هذا الفيروس له عِزَّة نفس كبيرة جداً، لن يأتي ا… https://t.co/nI0nqg02Tb,MSA,0.97852075
62,أنباء عن عزل 3 لاعبين من ليستر سيتي بسبب إصابتهم بكورونا,MSA,0.9710614
